method_id,datasetmention_id
M_105299a00f21,DM_60158d21d371
M_1261ba2dd7d6,DM_0b65dd524cd1
M_1261ba2dd7d6,DM_f05830d343bb
M_2a9b7ac8647e,DM_17d049639094
M_2a9b7ac8647e,DM_1ebda0e1445a
M_2b4810132c1c,DM_5315c018aa59
M_2b4810132c1c,DM_5a95f52b7b04
M_2b4810132c1c,DM_f19855810033
M_3f6b38cb60d1,DM_6e4a8265da5f
M_3f6b38cb60d1,DM_a9aedfb35d92
M_3f6b38cb60d1,DM_b19057799c2d
M_418f7902b01e,DM_75cb37ad4565
M_418f7902b01e,DM_915ae66a5c22
M_418f7902b01e,DM_9dd958aa4eaf
M_4a653ff8d237,DM_72d3e30a11c8
M_4a653ff8d237,DM_7f70e1702c91
M_4a653ff8d237,DM_ece907d22f0a
M_4b06671398e0,DM_69b1a4a7e2b7
M_4b06671398e0,DM_7154dcc62bb7
M_4b06671398e0,DM_cfaf1c4788cc
M_4b06671398e0,DM_fc2d20204ff9
M_5fe2048b1ac3,DM_13a9edc3fccc
M_5fe2048b1ac3,DM_21c34837f781
M_5fe2048b1ac3,DM_37a1e4dc0519
M_61b45f77280e,DM_52e401f1436e
M_61b45f77280e,DM_755153c7980a
M_61b45f77280e,DM_bc34ee337f53
M_6378fa24c950,DM_a6fcca071f52
M_63903d40cf29,DM_987af4d9322e
M_7370a3595e96,DM_09d83bd05b77
M_7370a3595e96,DM_81d71384d80c
M_7370a3595e96,DM_dfe7170789c7
M_96d4bef2c90e,DM_a6c339d31cbe
M_9a085f809fa7,DM_4db937068b3a
M_a24d8fce90fb,DM_d8dcd872d73a
M_a44e3ff37ab0,DM_1f87eb8d173c
M_a4e6cf2e60a1,DM_ae4cff028cec
M_a4e6cf2e60a1,DM_bfd0ec762001
M_a4e6cf2e60a1,DM_ddee4782c43f
M_afbd3f1515c8,DM_87305f3db234
M_afbd3f1515c8,DM_f4001dc21668
M_be8ee8d46209,DM_2911eeedb9b6
M_c0a4e7fcf815,DM_b82b2b5be9c6
M_c3642529f3f7,DM_f5833f39715a
M_c63c40d7f49f,DM_3a90ffee0a52
M_c6bc5c3e1857,DM_f0abb042e971
M_eb4c69c5164f,DM_39cdd4789cd3
M_eb4c69c5164f,DM_c9f4715ae228
M_eb4c69c5164f,DM_cb94b66510e4
M_f10015dba7da,DM_441feb4018ed
M_ffaf41cf0b8d,DM_5f0df66abaf7
M_ffaf41cf0b8d,DM_9700099fb5c4
