datasetmention_id,uncertainty_code,description
DM_09d83bd05b77,U2,Severity level reported in the extraction sheet: Medium.
DM_0b65dd524cd1,U2,"Scene-dependent noise, alignment error, and resolution/contrast differences across source images."
DM_13a9edc3fccc,U2,"Depth noise, calibration limits, synchronization error, and missing measurements from commodity RGB-D sensing."
DM_17d049639094,U2,Sequencing dropout and batch variability can distort cell-type signatures.
DM_1ebda0e1445a,U2,Sequencing dropout and batch variability can distort cell-type signatures.
DM_1f87eb8d173c,U2,Signal blockage and measurement noise in urban environments.
DM_21c34837f781,U2,"Depth noise, occlusions, calibration error, and pose drift in RGB-D indoor scans."
DM_2911eeedb9b6,U2,Severity level reported in the extraction sheet: High.
DM_37a1e4dc0519,U2,"Sensor noise, missing surfaces, drift, and incomplete coverage in indoor RGB-D scans."
DM_39cdd4789cd3,U2,Severity level reported in the extraction sheet: Medium.
DM_3a90ffee0a52,U2,Severity level reported in the extraction sheet: Medium.
DM_441feb4018ed,U2,Packet loss and node energy depletion errors.
DM_4db937068b3a,U2,Severity level reported in the extraction sheet: Medium.
DM_52e401f1436e,U2,Severity level reported in the extraction sheet: Medium.
DM_5315c018aa59,U2,Severity level reported in the extraction sheet: Medium.
DM_5a95f52b7b04,U2,Severity level reported in the extraction sheet: Medium.
DM_5f0df66abaf7,U2,"Image resolution, shadowing, LiDAR density, and cross-modal alignment affect measurement quality."
DM_60158d21d371,U2,Severity level reported in the extraction sheet: Medium.
DM_69b1a4a7e2b7,U2,"Sensor calibration drift, intermittent missing values, and measurement noise in greenhouse instrumentation."
DM_6e4a8265da5f,U2,Severity level reported in the extraction sheet: Medium.
DM_7154dcc62bb7,U2,Manual assessment variability and instrument precision limits in QA/tasting measurements.
DM_72d3e30a11c8,U2,Severity level reported in the extraction sheet: Medium.
DM_755153c7980a,U2,Severity level reported in the extraction sheet: Medium.
DM_75cb37ad4565,U2,"Instrument calibration error, participant positioning variability, and biological variability in DXA measurements."
DM_7f70e1702c91,U2,Severity level reported in the extraction sheet: Medium.
DM_81d71384d80c,U2,Severity level reported in the extraction sheet: Medium.
DM_87305f3db234,U2,"Field reports may be delayed, incomplete, duplicated, or inconsistent across responding organizations."
DM_915ae66a5c22,U2,"Sequencing depth variation, compositional bias, contamination risk, and batch effects in metagenomic profiling."
DM_9700099fb5c4,U2,"Image resolution, shadowing, LiDAR density, and cross-modal alignment affect measurement quality."
DM_987af4d9322e,U2,Calibration drift and fixation/saccade detection choices can alter measured scanpaths.
DM_9dd958aa4eaf,U2,"Ion suppression, batch drift, detection limits, peak missingness, and sample-preparation variability."
DM_a6c339d31cbe,U2,Scarce distribution leads to high interpolation uncertainty.
DM_a6fcca071f52,U2,Sensor noise/resolution limits during high-velocity movements.
DM_a9aedfb35d92,U2,Severity level reported in the extraction sheet: Medium.
DM_ae4cff028cec,U2,Severity level reported in the extraction sheet: Medium.
DM_b19057799c2d,U2,Severity level reported in the extraction sheet: Medium.
DM_b82b2b5be9c6,U2,"Meter noise, time-synchronization issues, communication dropouts, and uncertainty from fine-grained periodic reporting."
DM_bc34ee337f53,U2,Severity level reported in the extraction sheet: Medium.
DM_bfd0ec762001,U2,Severity level reported in the extraction sheet: Medium.
DM_c9f4715ae228,U2,Severity level reported in the extraction sheet: Medium.
DM_cb94b66510e4,U2,Severity level reported in the extraction sheet: Medium.
DM_cfaf1c4788cc,U2,"Lighting variation, occlusion, viewpoint change, and image-quality limitations."
DM_d8dcd872d73a,U2,"Observed group proportions can be noisy, partial, or unknown for individual sources."
DM_ddee4782c43f,U2,Severity level reported in the extraction sheet: Medium.
DM_dfe7170789c7,U2,Severity level reported in the extraction sheet: Medium.
DM_ece907d22f0a,U2,Severity level reported in the extraction sheet: Medium.
DM_f05830d343bb,U2,"Modality-specific noise, spatial-resolution differences, and registration mismatch across paired images."
DM_f0abb042e971,U2,High uncertainty due to node isolation and missing packets.
DM_f19855810033,U2,Severity level reported in the extraction sheet: Medium.
DM_f4001dc21668,U2,Demand observations vary in reliability and may be missing or chaotic during emergency response.
DM_f5833f39715a,U2,Severity level reported in the extraction sheet: Medium.
DM_fc2d20204ff9,U2,"Manual entry errors, categorical inconsistency, and missing or delayed log entries."
