Paper Title,DOI,Dataset Name,Canonical Dataset,Sensor Type,Method Name,Method ID,Uncertainty Type (U1/U2/U3),Description,Source Group,Extraction Source
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,10.1002/rrq.414,Russian reading eye-tracking scanpaths,Russian Reading Eye-tracking,Eye-tracking,Exploratory scanpath analysis of Russian reading,M_63903d40cf29,U1,"Reading-process categories such as fluent, intermediate, and beginner depend on how scanpath behavior is conceptualized.",21,inferred from bibliography abstract
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,10.1002/rrq.414,Russian reading eye-tracking scanpaths,Russian Reading Eye-tracking,Eye-tracking,Exploratory scanpath analysis of Russian reading,M_63903d40cf29,U2,Calibration drift and fixation/saccade detection choices can alter measured scanpaths.,21,inferred from bibliography abstract
Monolingual and Bilingual Reading Processes in Russian: An Exploratory Scanpath Analysis,10.1002/rrq.414,Russian reading eye-tracking scanpaths,Russian Reading Eye-tracking,Eye-tracking,Exploratory scanpath analysis of Russian reading,M_63903d40cf29,U3,Interpretations depend on qualitative scanpath classification and group-comparison assumptions.,21,inferred from bibliography abstract
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,4D Concatenation,M_7370a3595e96,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,4D Concatenation,M_7370a3595e96,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,4D Concatenation,M_7370a3595e96,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Concatenation,M_2b4810132c1c,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Concatenation,M_2b4810132c1c,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Concatenation,M_2b4810132c1c,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Cumulative,M_3f6b38cb60d1,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Cumulative,M_3f6b38cb60d1,U2,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Cumulative,M_3f6b38cb60d1,U3,Severity level reported in the extraction sheet: Medium-High.,18,structured spreadsheet
"Combined i-Vector and Extreme Learning Machine Approach for Robust Speaker Identification and Evaluation with SITW 2016, NIST 2008, TIMIT Databases",10.1007/s00034-021-01697-7,NIST 2008 SRE,NIST 2008 SRE,Audio / Speech,Interleaving,M_4a653ff8d237,U1,Severity level reported in the extraction sheet: Medium.,18,structured spreadsheet
