method_id,uncertainty_code,description
M_105299a00f21,U1,Severity level reported in the extraction sheet: High.
M_105299a00f21,U3,Severity level reported in the extraction sheet: Medium.
M_1261ba2dd7d6,U1,What counts as the most clinically useful fused image depends on the diagnostic task and on how complementary modality information is conceptualized for each case.
M_1261ba2dd7d6,U3,"Fusion quality depends on transform selection, MCFO parameter search, coefficient-fusion rules, and metric-driven optimization assumptions."
M_2a9b7ac8647e,U1,Matching assumes that cell types across experiments can be represented as comparable underlying multivariate expression distributions.
M_2a9b7ac8647e,U3,"Matching results depend on feature-selection choices, cluster definitions, and the statistical testing framework."
M_2b4810132c1c,U1,Severity level reported in the extraction sheet: Medium.
M_2b4810132c1c,U3,Severity level reported in the extraction sheet: Medium-High.
M_3f6b38cb60d1,U1,Severity level reported in the extraction sheet: Medium.
M_3f6b38cb60d1,U3,Severity level reported in the extraction sheet: Medium-High.
M_418f7902b01e,U1,"The biological meaning and causal direction of microbe-metabolite-BMD relationships remain partly ambiguous, and findings may be cohort-specific."
M_418f7902b01e,U3,"Results depend on linear/correlation-based assumptions, feature-selection thresholds, covariate adjustment, and network construction choices that may miss nonlinear structure."
M_4a653ff8d237,U1,Severity level reported in the extraction sheet: Medium.
M_4a653ff8d237,U3,Severity level reported in the extraction sheet: Medium-High.
M_4b06671398e0,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites."
M_4b06671398e0,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions."
M_5fe2048b1ac3,U1,The method assumes that continuous smooth implicit surfaces are an adequate abstraction of real scene geometry and should regularize reconstruction.
M_5fe2048b1ac3,U3,"Reconstruction quality depends on HRBF fitting, kernel/radius choices, confidence estimation, and registration optimization assumptions."
M_61b45f77280e,U1,Severity level reported in the extraction sheet: Medium.
M_61b45f77280e,U3,Severity level reported in the extraction sheet: Medium-High.
M_6378fa24c950,U1,"Ambiguity in defining a ""gold standard"" for human sport-specific movements."
M_6378fa24c950,U3,Algorithmic differences in sensor fusion logic between manufacturers.
M_63903d40cf29,U1,"Reading-process categories such as fluent, intermediate, and beginner depend on how scanpath behavior is conceptualized."
M_63903d40cf29,U3,Interpretations depend on qualitative scanpath classification and group-comparison assumptions.
M_7370a3595e96,U1,Severity level reported in the extraction sheet: Medium.
M_7370a3595e96,U3,Severity level reported in the extraction sheet: Medium-High.
M_96d4bef2c90e,U1,Uncertainty in defining regional representativeness with scarce observations.
M_96d4bef2c90e,U3,Model simulation errors and correlation biases in input lead-times.
M_9a085f809fa7,U1,Severity level reported in the extraction sheet: Medium.
M_9a085f809fa7,U3,Severity level reported in the extraction sheet: Medium.
M_a24d8fce90fb,U1,Fairness depends on how target demographic distributions and representation requirements are defined.
M_a24d8fce90fb,U3,"Results depend on optimization assumptions, approximation quality, reward design, and cost-function modeling."
M_a44e3ff37ab0,U1,Defining resilience and failure thresholds in varied environments.
M_a44e3ff37ab0,U3,Processing errors during high-frequency updates and interaction logic.
M_a4e6cf2e60a1,U1,Severity level reported in the extraction sheet: Medium.
M_a4e6cf2e60a1,U3,Severity level reported in the extraction sheet: Medium-High.
M_afbd3f1515c8,U1,"Disease categories, damage severity, and resource-needs definitions can vary across sources after an earthquake."
M_afbd3f1515c8,U3,"Forecast quality depends on entropy-weighting choices, simulation assumptions, and the demand-prediction model."
M_be8ee8d46209,U1,Severity level reported in the extraction sheet: High.
M_be8ee8d46209,U3,Severity level reported in the extraction sheet: High.
M_c0a4e7fcf815,U1,The appliance/angle representation may not fully capture the real-world complexity of household energy behavior and context.
M_c0a4e7fcf815,U3,"Correctness and privacy depend on cryptographic setup, aggregation assumptions, and the mapping from fine-grained readings to multidimensional summaries."
M_c3642529f3f7,U1,Severity level reported in the extraction sheet: Medium.
M_c3642529f3f7,U3,Severity level reported in the extraction sheet: High.
M_c63c40d7f49f,U1,Severity level reported in the extraction sheet: Medium.
M_c63c40d7f49f,U3,Severity level reported in the extraction sheet: Medium.
M_c6bc5c3e1857,U1,"Conceptual ambiguity in categorizing ""critical"" vs ""non-critical"" data."
M_c6bc5c3e1857,U3,Assumptions in data reconstruction from partial or isolated packets.
M_eb4c69c5164f,U1,Severity level reported in the extraction sheet: Medium.
M_eb4c69c5164f,U3,Severity level reported in the extraction sheet: Medium-High.
M_f10015dba7da,U1,Mapping complex security needs to mathematical aggregation models.
M_f10015dba7da,U3,Integrity verification errors and algorithmic overhead in processing.
M_ffaf41cf0b8d,U1,What counts as a building boundary or complete structure can vary in complex urban scenes and across scales.
M_ffaf41cf0b8d,U3,"Performance depends on network architecture, feature-fusion choices, attention design, and training assumptions."
