paper_id,uncertainty_code,description
10.1002/rrq.414,U1,"Reading-process categories such as fluent, intermediate, and beginner depend on how scanpath behavior is conceptualized."
10.1002/rrq.414,U2,Calibration drift and fixation/saccade detection choices can alter measured scanpaths.
10.1002/rrq.414,U3,Interpretations depend on qualitative scanpath classification and group-comparison assumptions.
10.1007/s00034-021-01697-7,U1,Severity level reported in the extraction sheet: Medium.
10.1007/s00034-021-01697-7,U2,Severity level reported in the extraction sheet: Medium.
10.1007/s00034-021-01697-7,U3,Severity level reported in the extraction sheet: Medium-High.
10.1007/s10586-021-03489-9,U1,"Crop quality is operationalized through selected QA/tasting indicators and farm-specific practices, so the target concept may not transfer cleanly to other crops or sites."
10.1007/s10586-021-03489-9,U2,"Sensor calibration drift, intermittent missing values, and measurement noise in greenhouse instrumentation."
10.1007/s10586-021-03489-9,U2,"Lighting variation, occlusion, viewpoint change, and image-quality limitations."
10.1007/s10586-021-03489-9,U2,Manual assessment variability and instrument precision limits in QA/tasting measurements.
10.1007/s10586-021-03489-9,U2,"Manual entry errors, categorical inconsistency, and missing or delayed log entries."
10.1007/s10586-021-03489-9,U3,"Performance depends on feature engineering, week/year aggregation choices, model selection, and train/test assumptions."
10.1007/s11042-022-12260-0,U1,What counts as the most clinically useful fused image depends on the diagnostic task and on how complementary modality information is conceptualized for each case.
10.1007/s11042-022-12260-0,U2,"Modality-specific noise, spatial-resolution differences, and registration mismatch across paired images."
10.1007/s11042-022-12260-0,U2,"Scene-dependent noise, alignment error, and resolution/contrast differences across source images."
10.1007/s11042-022-12260-0,U3,"Fusion quality depends on transform selection, MCFO parameter search, coefficient-fusion rules, and metric-driven optimization assumptions."
10.1007/s12083-021-01078-6,U1,Severity level reported in the extraction sheet: High.
10.1007/s12083-021-01078-6,U2,Severity level reported in the extraction sheet: Medium.
10.1007/s12083-021-01078-6,U3,Severity level reported in the extraction sheet: Medium.
10.1016/j.gaitpost.2021.11.012,U1,"Ambiguity in defining a ""gold standard"" for human sport-specific movements."
10.1016/j.gaitpost.2021.11.012,U2,Sensor noise/resolution limits during high-velocity movements.
10.1016/j.gaitpost.2021.11.012,U3,Algorithmic differences in sensor fusion logic between manufacturers.
10.1016/j.ijleo.2021.166726,U1,Severity level reported in the extraction sheet: Medium.
10.1016/j.ijleo.2021.166726,U2,Severity level reported in the extraction sheet: Medium.
10.1016/j.ijleo.2021.166726,U3,Severity level reported in the extraction sheet: High.
10.1016/j.jhydrol.2022.127506,U1,Uncertainty in defining regional representativeness with scarce observations.
10.1016/j.jhydrol.2022.127506,U2,Scarce distribution leads to high interpolation uncertainty.
10.1016/j.jhydrol.2022.127506,U3,Model simulation errors and correlation biases in input lead-times.
10.1016/j.jii.2021.100235,U1,"Disease categories, damage severity, and resource-needs definitions can vary across sources after an earthquake."
10.1016/j.jii.2021.100235,U2,"Field reports may be delayed, incomplete, duplicated, or inconsistent across responding organizations."
10.1016/j.jii.2021.100235,U2,Demand observations vary in reliability and may be missing or chaotic during emergency response.
10.1016/j.jii.2021.100235,U3,"Forecast quality depends on entropy-weighting choices, simulation assumptions, and the demand-prediction model."
10.1093/bib/bbaa339,U1,Matching assumes that cell types across experiments can be represented as comparable underlying multivariate expression distributions.
10.1093/bib/bbaa339,U2,Sequencing dropout and batch variability can distort cell-type signatures.
10.1093/bib/bbaa339,U3,"Matching results depend on feature-selection choices, cluster definitions, and the statistical testing framework."
10.1109/JIOT.2021.3077866,U1,Mapping complex security needs to mathematical aggregation models.
10.1109/JIOT.2021.3077866,U2,Packet loss and node energy depletion errors.
10.1109/JIOT.2021.3077866,U3,Integrity verification errors and algorithmic overhead in processing.
10.1109/JIOT.2021.3098635,U1,"Conceptual ambiguity in categorizing ""critical"" vs ""non-critical"" data."
10.1109/JIOT.2021.3098635,U2,High uncertainty due to node isolation and missing packets.
10.1109/JIOT.2021.3098635,U3,Assumptions in data reconstruction from partial or isolated packets.
10.1109/TGCN.2021.3122793,U1,The appliance/angle representation may not fully capture the real-world complexity of household energy behavior and context.
10.1109/TGCN.2021.3122793,U2,"Meter noise, time-synchronization issues, communication dropouts, and uncertainty from fine-grained periodic reporting."
10.1109/TGCN.2021.3122793,U3,"Correctness and privacy depend on cryptographic setup, aggregation assumptions, and the mapping from fine-grained readings to multidimensional summaries."
10.1109/TITS.2022.3150273,U1,Defining resilience and failure thresholds in varied environments.
10.1109/TITS.2022.3150273,U2,Signal blockage and measurement noise in urban environments.
10.1109/TITS.2022.3150273,U3,Processing errors during high-frequency updates and interaction logic.
10.1109/TKDE.2019.2946798,U1,Severity level reported in the extraction sheet: High.
10.1109/TKDE.2019.2946798,U2,Severity level reported in the extraction sheet: High.
10.1109/TKDE.2019.2946798,U3,Severity level reported in the extraction sheet: High.
10.1145/3516521,U1,The method assumes that continuous smooth implicit surfaces are an adequate abstraction of real scene geometry and should regularize reconstruction.
10.1145/3516521,U2,"Depth noise, calibration limits, synchronization error, and missing measurements from commodity RGB-D sensing."
10.1145/3516521,U2,"Sensor noise, missing surfaces, drift, and incomplete coverage in indoor RGB-D scans."
10.1145/3516521,U2,"Depth noise, occlusions, calibration error, and pose drift in RGB-D indoor scans."
10.1145/3516521,U3,"Reconstruction quality depends on HRBF fitting, kernel/radius choices, confidence estimation, and registration optimization assumptions."
10.14778/3476249.3476299,U1,Fairness depends on how target demographic distributions and representation requirements are defined.
10.14778/3476249.3476299,U2,"Observed group proportions can be noisy, partial, or unknown for individual sources."
10.14778/3476249.3476299,U3,"Results depend on optimization assumptions, approximation quality, reward design, and cost-function modeling."
10.26599/TST.2019.9010060,U1,Severity level reported in the extraction sheet: Medium.
10.26599/TST.2019.9010060,U2,Severity level reported in the extraction sheet: Medium.
10.26599/TST.2019.9010060,U3,Severity level reported in the extraction sheet: Medium.
10.3389/fcimb.2022.853499,U1,"The biological meaning and causal direction of microbe-metabolite-BMD relationships remain partly ambiguous, and findings may be cohort-specific."
10.3389/fcimb.2022.853499,U2,"Sequencing depth variation, compositional bias, contamination risk, and batch effects in metagenomic profiling."
10.3389/fcimb.2022.853499,U2,"Ion suppression, batch drift, detection limits, peak missingness, and sample-preparation variability."
10.3389/fcimb.2022.853499,U2,"Instrument calibration error, participant positioning variability, and biological variability in DXA measurements."
10.3389/fcimb.2022.853499,U3,"Results depend on linear/correlation-based assumptions, feature-selection thresholds, covariate adjustment, and network construction choices that may miss nonlinear structure."
10.3390/rs13132473,U1,What counts as a building boundary or complete structure can vary in complex urban scenes and across scales.
10.3390/rs13132473,U2,"Image resolution, shadowing, LiDAR density, and cross-modal alignment affect measurement quality."
10.3390/rs13132473,U3,"Performance depends on network architecture, feature-fusion choices, attention design, and training assumptions."
